Source: ACS 5-Year Estimates Public Use Microdata Sample 2020
Weight used: null
"Universe: default universe (usually US)"
"","Age recode (AGEP_RC1)","","","","","","","","",""
"Place of birth (Recode)","Total","Between 0 and 4","Between 5 and 14","Between 15 and 24","Between 25 and 44","Between 45 and 54","Between 55 and 64","Between 65 and 74","Between 75 and 84","Between 85 and Over"
"Somalia","2426","13","135","302","1218","383","205","101","53","16"
"South Africa","5575","62","227","497","1792","1083","967","640","255","52"
"Sudan","1685","27","129","198","688","308","231","76","19","9"
"Tanzania","1189","21","145","213","269","177","175","132","49","8"
"Togo","971","11","59","135","466","202","70","24","4","0"
"Tunisia (2017 or later)","389","1","26","18","156","59","57","42","23","7"
"Uganda","1352","44","190","158","391","215","219","103","26","6"
"Democratic Republic of Congo (Zaire)","1705","50","253","283","655","238","151","52","21","2"
"Zambia","608","3","36","82","217","118","110","28","11","3"
"Zimbabwe","1074","4","28","147","372","225","182","83","27","6"
"Africa","3383","47","240","451","1253","596","470","221","68","37"
"South Sudan (2017 or later)","231","2","8","23","137","36","14","10","1","0"
"Northern Africa, Not Specified","105","2","0","9","44","17","14","14","3","2"
"Western Africa, Not Specified","1506","13","86","191","749","269","149","34","8","7"
"Other Africa, Not Specified","951","20","101","162","346","145","109","44","19","5"
"Eastern Africa, Not Specified","1213","19","103","169","431","214","142","94","30","11"
"Australia","5983","128","575","634","2058","1026","702","572","195","93"
"Fiji","2012","17","45","114","612","426","427","272","80","19"
"Marshall Islands","899","31","122","178","383","122","43","16","3","1"
"Micronesia","1269","32","100","210","578","185","95","47","13","9"
"New Zealand","1885","35","102","158","541","358","326","253","84","28"
"Tonga","715","12","20","58","168","169","152","89","35","12"
"Samoa","561","3","18","60","136","98","120","73","42","11"
"Other US Island Areas, Oceania, Not Specified, or at Sea","668","10","21","87","267","104","99","49","22","9"
